restaurant_id,restaurant_name,rating,review_count,locality,street_address,categories
sksVCruP-vlq4TprGHeM8A,Itadakimasu,4,9,Seattle,4743 Brooklyn Ave NE,"[u'Korean', u'Japanese', u'Restaurants']"
ugTsEtjvwRhteac_6JcuPw,Italian Family Pizza,4.5,28,Seattle,1206 1st Ave,"[u'Pizza', u'Restaurants']"
ImgFELlkNMg-UUmGNB2kWA,Italian Spaghetti House & Pizzeria,3,40,Seattle,9824 Lake City Way NE,"[u'Italian', u'Pizza', u'Restaurants']"
3PteyRHLY42hWpL1wMl4Ig,Ivar's Fish Bar,3.5,233,Seattle,1001 Alaskan Way,"[u'Seafood', u'Fast Food', u'Fish & Chips', u'Restaurants']"
eAPS1gMA85QHlVCWs1FCMg,Ivar's Restaurants,4,1,Seattle,416 Northgate Mall,"[u'American (Traditional)', u'Restaurants']"
egty45DOptyWQDJosNHFrQ,Ivar's Acres of Clams,3.5,476,Seattle,1001 Alaskan Way,"[u'American (Traditional)', u'Bars', u'Seafood', u'Nightlife', u'Restaurants']"
FMFfdtHOxMT1xiDFsYUN8Q,Ivar's Seafood Bar,3.5,13,Seattle,401 NE Northgate Way,"[u'Seafood', u'Fast Food', u'Fish & Chips', u'Restaurants']"
gP921Ghfb7ERWmOjl7r-ng,Ivar's Salmon House,3.5,481,Seattle,401 NE Northlake  Way,"[u'Bars', u'Seafood', u'Breakfast & Brunch', u'Nightlife', u'Lounges', u'Restaurants']"
f2QpuKySVD1W3CPzd41WfA,Ivar's Seafood Bar,3.5,34,Seattle,6000 15th Ave NW,"[u'Seafood', u'Fast Food', u'Fish & Chips', u'Restaurants']"
nRxE5VSoGidQItdiT6S0TA,Ivar's Seafood Bar,3.5,87,Seattle,"Sea-Tac International Airport, Central Terminal","[u'Seafood', u'Fast Food', u'Fish & Chips', u'Restaurants']"
u2KNNgeOFCT-9Vv1sFPiBg,Ivar's Seafood Bar,3.5,33,Seattle,13448 Aurora Ave N,"[u'Seafood', u'Fast Food', u'Fish & Chips', u'Restaurants']"
cAFXng3Gr1cBCFkP1VIxng,The Independent Pizzeria,4,45,Seattle,4235 E Madison St,"[u'Pizza', u'Restaurants']"
aM_CIPpZberNmObuCZXeEA,The Innkeeper,4,47,Seattle,2510 1st Ave,"[u'Bars', u'Caribbean', u'Pubs', u'Nightlife', u'Latin American', u'Restaurants']"
zAE2a7at5Bp_9nD9_qJkWQ,The Iron Bull,3,40,Seattle,2121 N 45th St,"[u'Bars', u'Food', u'Beer, Wine & Spirits', u'American (Traditional)', u'Nightlife', u'Sports Bars', u'Restaurants']"
I7eyfSLpiSjZNuXKAiYiwA,The Islander,3.5,26,Seattle,96 Union St,"[u'Asian Fusion', u'Restaurants']"
v-4zj6RdNveXK83ExbTa8Q,Inn On the Corner,2.5,3,Seattle,6459 California Ave SW,"[u'American (New)', u'Restaurants']"
omH34tiM0dLXl6oo0A5ceg,International Teriyaki,3,39,Seattle,601 Stewart St,"[u'Japanese', u'Restaurants']"
AWfB9OmQYrDbLXbIufpBaw,Impromptu Wine Bar Cafe,4,13,Seattle,4235 E Madison St,"[u'Bars', u'American (New)', u'Nightlife', u'Wine Bars', u'Restaurants']"
2gdDA6rNrBSVfccbpQytdQ,Inay's Manila Grill,3,10,Seattle,5020 University Way NE,"[u'Filipino', u'Restaurants']"
LUlynj6AwI-TPA3hBdmZzQ,Inay's Asian Pacific Cuisine,4,89,Seattle,2503 Beacon Ave S,"[u'Filipino', u'Restaurants']"
HFl2dH581owwb9EiRo-DIA,India Bistro,4.5,137,Seattle,6417 Roosevelt Way NE,"[u'Seafood', u'Indian', u'Restaurants']"
WY6gH8OAkwKZWznJOV_gJg,India Express,3.5,103,Seattle,510 Broadway E,"[u'Indian', u'Restaurants']"
rM9fT2rlcmZtwLjHAlGBxQ,India Bistro,3.5,185,Seattle,2301 NW Market St,"[u'Pakistani', u'Indian', u'Buffets', u'Restaurants']"
5Qd9JJumtWEl4hLNoNQdBQ,Indian Ocean Restaurant,4.5,3,Seattle,2519 South Jackson Street,"[u'African', u'Restaurants']"
63Gy5_bq5ctDaECzvXj-lA,Indo Cafe,4,11,Seattle,13754 Aurora Ave N,"[u'Asian Fusion', u'Indonesian', u'Restaurants']"
qWOVcflUVLDo1K7U5RNSTQ,Indo Cafe,4,114,Seattle,543 NE Northgate Way,"[u'Asian Fusion', u'Indonesian', u'Restaurants']"
eISwdBF7XM7ly61OkxqaGA,Industry Lounge,3.5,9,Seattle,6601 E Marginal Way S,"[u'Bars', u'Food', u'Beer, Wine & Spirits', u'Burgers', u'Nightlife', u'Dive Bars', u'Restaurants']"
mXuKmjA4wG89C_RwTu55Bw,Ingallina's Box Lunch,3.5,26,Seattle,135 S Lucile St,"[u'Food', u'Caterers', u'Food Delivery Services', u'Sandwiches', u'Event Planning & Services', u'Restaurants']"
oZQwAojMr5N-VBxPTaE9yQ,I Love My GFF,4,8,Seattle,970 Denny Way,"[u'Vegetarian', u'Food Stands', u'Gluten-Free', u'Restaurants']"
0xRBwwAq-yRPuP9d12A0Hg,I Love Bento,3,25,Seattle,7500 35th Ave NE,"[u'Japanese', u'Sushi Bars', u'Restaurants']"
EYZ5T01GsUFpw_PfSHRa0g,I Love New York Deli,3.5,48,Seattle,Pike Place Market,"[u'Delis', u'Sandwiches', u'Restaurants']"
2B4e1tjMicMWXHL-xQ-O8g,I Love New York Deli,3.5,78,Seattle,5200 Roosevelt Way NE,"[u'Delis', u'Sandwiches', u'Restaurants']"
