address,city,zip,tract
340 WESTLAKE AVE N,seattle,98109,73
3401 CALIFORNIA AVE SW,seattle,98116,98
3407 CALIFORNIA AVE SW,seattle,98116,98
3409 STONE WAY N #101,seattle,98103,54
3416 W MCGRAW ST,seattle,98199,56
3418 W MCGRAW ST,seattle,98199,56
3427 RAINIER AVE S,seattle,98144,101
345 15TH AVE E,seattle,98112,75
345 15TH AVE E,seattle,98112,75
3456 15TH AVE W,seattle,98119,58.01
350 15TH AVE E,seattle,98112,76
350 TERRY AVE N,seattle,98109,73
3500 SW AVALON WAY,seattle,98126,98
3501 STONE WAY N,seattle,98103,54
3501 SW AVALON WAY,seattle,98126,105
3506 STONE WAY N,seattle,98103,54
3508 FREMONT PL N,seattle,98103,49
3509 SW HENDERSON ST,seattle,98126,115
351 ELLIOTT AVE W,seattle,98119,71
3510 FREMONT AVE N,seattle,98103,49
3512 FREMONT PL N,seattle,98103,49
3516 FREMONT PL N,seattle,98103,49
3520 FREMONT AVE N,seattle,98103,49
3520 SW GENESEE ST,seattle,98126,98
3526 FREMONT PL N,seattle,98103,49
3526 FREMONT PL N #B,seattle,98103,49
3527 CHELAN AVE SW,seattle,98106,99
3617 NE 45TH ST,seattle,98105,41
3620 STONE WAY N,seattle,98103,54
3621 33RD AVE S,seattle,98144,101
364 ROY ST,seattle,98109,67
3642 33RD AVE S C-6,seattle,98144,101
3650 WALLINGFORD AVE N,seattle,98103,54
3701 NE 45TH ST,seattle,98105,41
3715 NE 45TH ST,seattle,98105,41
3719 NE 45TH ST,seattle,98105,41
3756 RAINIER AVE S #A,seattle,98144,101
3818 S GRAHAM ST #B,seattle,98118,103
3820 RAINIER AVE S,seattle,98118,101
3820 S FERDINAND ST,seattle,98118,103
3829 DELRIDGE WAY SW,seattle,98106,99
3920 STONE WAY N,seattle,98103,54
4 W ROY ST,seattle,98119,70
400 N 35TH ST,seattle,98103,49
400 PINE ST,seattle,98101,81
400 PINE ST #42,seattle,98101,81
4001 AIRPORT WAY S,seattle,98108,93
4001 GILMAN AVE W,seattle,98199,58.01
4003 STONE WAY N,seattle,98103,54
4005 AIRPORT WAY S,seattle,98108,93
4008 NE 55TH ST,seattle,98105,42
401 NE NORTHGATE WAY,seattle,98125,12
401 NE NORTHGATE WAY #418,seattle,98125,12
401 NE NORTHGATE WAY #463,seattle,98125,12
401 NE NORTHGATE WAY #VC-3,seattle,98125,12
401 NE NORTHGATE WAY 1102,seattle,98125,12
401 NE NORTHGATE WAY 1119,seattle,98125,12
401 NE NORTHLAKE WAY,seattle,98105,52
401 WESTLAKE AVE N,seattle,98109,72
403 15TH AVE E,seattle,98112,75
404 N 36TH ST,seattle,98103,49
406 5TH AVE S,seattle,98104,91
407 BROAD ST,seattle,98109,72
407 CEDAR ST,seattle,98121,72
408 BROADWAY AVE E,seattle,98102,75
409 ROY ST,seattle,98109,72
41 DRAVUS ST,seattle,98109,60
4100 BEACH DR SW,seattle,98116,97.01
4106 BROOKLYN AVE NE,seattle,98105,53.01
4106 BROOKLYN AVE NE #101 A,seattle,98105,53.01
411 1ST AVE S,seattle,98104,93
4114 UNIVERSITY WAY NE,seattle,98105,53.01
4116 UNIVERSITY WAY NE,seattle,98105,53.01
4129 UNIVERSITY WAY NE,seattle,98105,53.01
4130 ROOSEVELT WAY NE,seattle,98105,53.01
4135 UNIVERSITY WAY NE,seattle,98105,53.01
4138 UNIVERSITY WAY NE,seattle,98105,53.01
4139 UNIVERSITY WAY NE,seattle,98105,53.01
4141 UNIVERSITY WAY NE,seattle,98105,53.01
4142 BROOKLYN AVE NE,seattle,98105,53.01
4142 UNIVERSITY WAY NE,seattle,98105,53.01
415 1ST AVE S,seattle,98104,93
415 7TH AVE S,seattle,98104,91
415 CEDAR ST,seattle,98121,72
418 8TH AVE S,seattle,98104,91
418 MAYNARD AVE S,seattle,98104,91
418 NW 65TH ST,seattle,98117,34
419 DENNY WAY,seattle,98109,72
420 BROADWAY AVE E,seattle,98102,75
4203 SW ADMIRAL WAY,seattle,98116,98
4207 UNIVERSITY WAY NE,seattle,98105,53.01
4210 E MADISON ST,seattle,98112,63
4213 SW COLLEGE ST,seattle,98116,96
4213 UNIVERSITY WAY NE,seattle,98105,53.01
4215 GILMAN AVE W,seattle,98199,58.01
4217 UNIVERSITY WAY NE,seattle,98105,53.01
422 2ND AVE S #1,seattle,98104,93
422 YALE AVE N,seattle,98109,73
4220 E MADISON ST,seattle,98112,63
4222 UNIVERSITY WAY NE,seattle,98105,53.01
4226 E MADISON ST,seattle,98112,63
4226 UNIVERSITY WAY NE,seattle,98105,53.01
4228 UNIVERSITY WAY NE,seattle,98105,53.01
4229 UNIVERSITY WAY NE,seattle,98105,53.01
4235 E Madison ST,seattle,98112,63
4237 UNIVERSITY WAY NE,seattle,98105,53.01
424 7TH AVE S,seattle,98104,91
424 MAYNARD AVE S,seattle,98104,91
4247 UNIVERSITY WAY NE,seattle,98105,53.01
425 CEDAR ST,seattle,98121,72
4256 FREMONT AVE N,seattle,98103,49
426 BROADWAY AVE E,seattle,98102,86
428 WESTLAKE AVE N #101,seattle,98109,73
